CoC Number,CoC Name,CoC Category,"Total Homeless, 2019","Sheltered Homeless, 2019","Unsheltered Homeless, 2019","Homeless Individuals, 2019","Sheltered Homeless Individuals, 2019","Unsheltered Homeless Individuals, 2019","Homeless People in Families, 2019","Sheltered Homeless People in Families, 2019","Unsheltered Homeless People in Families, 2019","Chronically Homeless, 2019","Sheltered Chronically Homeless, 2019","Unsheltered Chronically Homeless, 2019","Chronically Homeless Individuals, 2019","Sheltered Chronically Homeless Individuals, 2019","Unsheltered Chronically Homeless Individuals, 2019","Chronically Homeless People in Families, 2019","Sheltered Chronically Homeless People in Families, 2019","Unsheltered Chronically Homeless People in Families, 2019","Homeless Veterans, 2019","Sheltered Homeless Veterans, 2019","Unsheltered Homeless Veterans, 2019","Homeless Unaccompanied Youth (Under 25), 2019","Sheltered Homeless Unaccompanied Youth (Under 25), 2019","Unsheltered Homeless Unaccompanied Youth (Under 25), 2019","Homeless Unaccompanied Youth (Under 18), 2019","Sheltered Homeless Unaccompanied Youth (Under 18), 2019","Unsheltered Homeless Unaccompanied Youth (Under 18), 2019","Homeless Unaccompanied Youth (Age 18-24), 2019","Sheltered Homeless Unaccompanied Youth (Age 18-24), 2019","Unsheltered Homeless Unaccompanied Youth (Age 18-24), 2019","Parenting Youth (Under 25), 2019","Sheltered Parenting Youth (Under 25), 2019","Unsheltered Parenting Youth (Under 25), 2019","Parenting Youth Under 18, 2019","Homeless Parenting Youth Under 18, 2019","Unsheltered Homeless Parenting Youth Under 18, 2019","Parenting Youth Age 18-24, 2019","Sheltered Parenting Youth Age 18-24, 2019","Unsheltered Parenting Youth Age 18-24, 2019","Children of Parenting Youth, 2019","Sheltered Children of Parenting Youth, 2019","Unsheltered Children of Parenting Youth, 2019"
CA-521,"Davis, Woodland/Yolo County CoC",Largely Suburban CoC,655,258,397,521,124,397,134,134,0,175,40,135,163,28,135,12,12,0,35,5,30,33,17,16,0,0,0,33,17,16,11,11,0,0,0,0,11,11,0,14,14,0
CA-522,Humboldt County CoC,Largely Rural CoC,"1,702",300,"1,402","1,578",190,"1,388",124,110,14,474,78,396,454,65,389,20,13,7,66,47,19,88,19,69,12,9,3,76,10,66,5,5,0,0,0,0,5,5,0,9,9,0
CA-523,"Colusa, Glenn, Trinity Counties CoC",Largely Rural CoC,192,42,150,136,3,133,56,39,17,46,4,42,42,0,42,4,4,0,17,0,17,6,1,5,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0
CA-524,Yuba City & County/Sutter County CoC,Largely Suburban CoC,721,202,519,545,105,440,176,97,79,237,40,197,206,22,184,31,18,13,37,4,33,18,7,11,0,0,0,18,7,11,5,4,1,0,0,0,5,4,1,9,7,2
CA-525,El Dorado County CoC,Largely Suburban CoC,613,133,480,536,114,422,77,19,58,111,6,105,111,6,105,0,0,0,46,7,39,114,9,105,28,9,19,86,0,86,3,3,0,0,0,0,3,3,0,4,4,0
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Largely Rural CoC,845,158,687,663,56,607,182,102,80,264,21,243,227,9,218,37,12,25,65,16,49,53,2,51,1,0,1,52,2,50,4,0,4,0,0,0,4,0,4,4,0,4
CA-527,Tehama County CoC,Largely Rural CoC,288,73,215,231,43,188,57,30,27,130,20,110,123,20,103,7,0,7,15,6,9,17,0,17,0,0,0,17,0,17,2,1,1,0,0,0,2,1,1,3,1,2
CA-529,Lake County CoC,Largely Rural CoC,408,26,382,345,10,335,63,16,47,256,6,250,221,3,218,35,3,32,18,3,15,4,0,4,0,0,0,4,0,4,4,4,0,0,0,0,4,4,0,5,5,0
CA-530,"Alpine, Inyo, Mono Counties CoC",Largely Rural CoC,214,17,197,198,9,189,16,8,8,85,0,85,79,0,79,6,0,6,12,0,12,30,3,27,0,0,0,30,3,27,0,0,0,0,0,0,0,0,0,0,0,0
CA-531,Nevada County CoC,Largely Rural CoC,415,164,251,342,119,223,73,45,28,121,33,88,111,26,85,10,7,3,35,14,21,28,11,17,4,4,0,24,7,17,3,3,0,0,0,0,3,3,0,4,4,0
CA-600,Los Angeles City & County CoC,Major City CoC,"56,257","13,786","42,471","47,810","6,966","40,844","8,447","6,820","1,627","15,538","1,781","13,757","14,906","1,328","13,578",632,453,179,"3,538",763,"2,775","2,884",952,"1,932",66,21,45,"2,818",931,"1,887",505,365,140,0,0,0,505,365,140,537,417,120
CA-601,San Diego City and County CoC,Major City CoC,"8,102","3,626","4,476","6,683","2,425","4,258","1,419","1,201",218,"1,712",747,965,"1,583",666,917,129,81,48,"1,068",644,424,614,209,405,199,54,145,415,155,260,61,59,2,0,0,0,61,59,2,64,60,4
CA-602,"Santa Ana, Anaheim/Orange County CoC",Largely Suburban CoC,"6,860","2,899","3,961","5,310","1,745","3,565","1,550","1,154",396,"2,562",605,"1,957","2,471",557,"1,914",91,48,43,311,99,212,235,83,152,14,11,3,221,72,149,28,26,2,0,0,0,28,26,2,35,32,3
CA-603,Santa Maria/Santa Barbara County CoC,Largely Suburban CoC,"1,803",670,"1,133","1,435",344,"1,091",368,326,42,423,132,291,401,110,291,22,22,0,114,24,90,86,18,68,11,5,6,75,13,62,8,8,0,0,0,0,8,8,0,12,12,0
CA-604,Bakersfield/Kern County CoC,Other Largely Urban CoC,"1,330",525,805,"1,118",348,770,212,177,35,73,17,56,64,12,52,9,5,4,121,53,68,91,29,62,1,0,1,90,29,61,9,9,0,0,0,0,9,9,0,15,15,0
CA-606,Long Beach CoC,Major City CoC,"1,894",619,"1,275","1,700",471,"1,229",194,148,46,645,80,565,624,74,550,21,6,15,304,213,91,44,12,32,0,0,0,44,12,32,2,2,0,0,0,0,2,2,0,2,2,0
CA-607,Pasadena CoC,Other Largely Urban CoC,542,221,321,465,144,321,77,77,0,269,103,166,264,98,166,5,5,0,32,6,26,26,8,18,0,0,0,26,8,18,5,5,0,0,0,0,5,5,0,4,4,0
CA-608,Riverside City & County CoC,Largely Suburban CoC,"2,811",766,"2,045","2,522",490,"2,032",289,276,13,804,77,727,786,59,727,18,18,0,163,56,107,285,87,198,27,20,7,258,67,191,12,10,2,0,0,0,12,10,2,13,11,2
CA-609,San Bernardino City & County CoC,Largely Suburban CoC,"2,607",687,"1,920","2,119",286,"1,833",488,401,87,767,64,703,723,44,679,44,20,24,207,32,175,169,29,140,10,5,5,159,24,135,17,15,2,0,0,0,17,15,2,21,19,2
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Other Largely Urban CoC,"1,669",411,"1,258","1,472",232,"1,240",197,179,18,324,19,305,318,13,305,6,6,0,106,26,80,84,15,69,1,0,1,83,15,68,4,4,0,0,0,0,4,4,0,3,3,0
CA-612,Glendale CoC,Other Largely Urban CoC,243,96,147,162,30,132,81,66,15,76,27,49,60,17,43,16,10,6,5,0,5,6,0,6,0,0,0,6,0,6,3,3,0,0,0,0,3,3,0,3,3,0
CA-613,Imperial County CoC,Largely Suburban CoC,"1,413",188,"1,225","1,120",96,"1,024",293,92,201,490,0,490,399,0,399,91,0,91,61,1,60,69,9,60,0,0,0,69,9,60,22,3,19,0,0,0,22,3,19,17,6,11
CA-614,San Luis Obispo County CoC,Largely Suburban CoC,"1,483",311,"1,172","1,261",173,"1,088",222,138,84,298,49,249,261,27,234,37,22,15,144,5,139,174,6,168,23,0,23,151,6,145,5,2,3,0,0,0,5,2,3,3,1,2
CO-500,Colorado Balance of State CoC,Largely Rural CoC,"2,302","1,504",798,"1,783","1,085",698,519,419,100,693,281,412,665,266,399,28,15,13,240,131,109,154,69,85,10,4,6,144,65,79,12,10,2,0,0,0,12,10,2,20,13,7
CO-503,Metropolitan Denver CoC,Major City CoC,"5,755","4,809",946,"4,353","3,425",928,"1,402","1,384",18,"1,158",826,332,"1,124",799,325,34,27,7,627,535,92,283,215,68,21,18,3,262,197,65,45,45,0,0,0,0,45,45,0,53,53,0
CO-504,Colorado Springs/El Paso County CoC,Major City CoC,"1,562","1,118",444,"1,127",718,409,435,400,35,336,162,174,317,146,171,19,16,3,201,126,75,108,74,34,5,4,1,103,70,33,23,23,0,0,0,0,23,23,0,38,38,0
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",Other Largely Urban CoC,771,673,98,474,378,96,297,295,2,56,32,24,56,32,24,0,0,0,50,49,1,64,28,36,5,2,3,59,26,33,14,13,1,0,0,0,14,13,1,18,17,1
